Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-19,2715.8352785561,2715.8352785561,2570.191161386675,2628.9169921875,474474,0.0,0.0
2019-11-20,2625.9786075447855,2663.5850917765065,2521.3777904764233,2581.348876953125,472792,0.0,0.0
2019-11-21,2599.8961806453685,2612.5101614581386,2545.750325963031,2569.18359375,343752,2.5,0.0
2019-11-22,2591.51976395294,2622.481639451578,2561.306002114419,2597.6025390625,427477,0.0,0.0
2019-11-25,2594.6109519759043,2652.4462460629925,2572.474043273415,2624.2265625,481235,0.0,0.0
2019-11-26,2631.505883563497,2681.363895756818,2492.9006096660632,2583.59228515625,7089080,0.0,0.0
2019-11-27,2494.845063050995,2559.7103866335315,2472.6083405703616,2540.913818359375,424648,0.0,0.0
2019-11-28,2542.659077523836,2557.117902589953,2516.8327218536447,2535.678955078125,162653,0.0,0.0
2019-11-29,2540.6150218772614,2656.43509581158,2526.8541607545344,2626.27099609375,424688,0.0,0.0
2019-12-02,2605.6797055595102,2605.6797055595102,2483.0289873297406,2507.010498046875,381042,0.0,0.0
2019-12-03,2514.8381740857794,2552.730263941156,2503.869411232907,2545.800048828125,180429,0.0,0.0
2019-12-04,2533.6843647870583,2555.173216719342,2361.2754561017987,2439.053955078125,404442,0.0,0.0
2019-12-05,2452.7151356938243,2488.9121031917293,2428.633811882022,2442.4443359375,178654,0.0,0.0
2019-12-06,2461.988633370777,2480.934677937016,2428.5338586182947,2437.50830078125,308261,0.0,0.0
2019-12-09,2452.665243410168,2521.668931178267,2452.665243410168,2478.541748046875,201575,0.0,0.0
2019-12-10,2486.7184365339817,2517.829789601169,2473.007482234173,2492.352294921875,110843,0.0,0.0
2019-12-11,2491.8037444469996,2614.2051697077677,2479.1897641921355,2556.369873046875,275314,0.0,0.0
2019-12-12,2572.324479701743,2580.6508656154115,2498.93362742807,2518.57763671875,180504,0.0,0.0
2019-12-13,2531.789941275868,2681.264169299555,2523.4138923347077,2614.0556640625,434263,0.0,0.0
2019-12-16,2642.4747332250954,2662.816705490612,2604.632549414225,2635.1455078125,155783,0.0,0.0
2019-12-17,2632.503098480822,2670.3951885347124,2575.9641601688245,2598.699462890625,259859,0.0,0.0
2019-12-18,2608.571414195081,2634.348106014747,2577.659444072739,2622.332275390625,217623,0.0,0.0
2019-12-19,2605.9784685666764,2605.9784685666764,2547.74440804738,2585.38720703125,154438,0.0,0.0
2019-12-20,2567.7376026828147,2664.412242197327,2553.727452195866,2634.796630859375,409465,0.0,0.0
2019-12-23,2630.2094301215643,2637.4887483243615,2568.6846940202477,2585.187744140625,163173,0.0,0.0
2019-12-24,2585.2874815152345,2592.6666135955584,2545.002303910145,2556.270263671875,92401,0.0,0.0
2019-12-26,2566.2420025520596,2572.224964500798,2503.8695755469935,2521.7685546875,84567,0.0,0.0
2019-12-27,2534.681409207711,2577.0607176108474,2524.8096206292003,2559.4609375,135784,0.0,0.0
2019-12-30,2572.673466665259,2572.673466665259,2520.4720297592244,2536.626220703125,99912,0.0,0.0
2019-12-31,2540.764457302049,2563.6991443185116,2514.788382665674,2522.865478515625,234166,0.0,0.0
2020-01-01,2526.106128129564,2582.6450660205483,2522.815450591501,2558.314453125,60629,0.0,0.0
2020-01-02,2542.7587534845075,2557.1676710647853,2513.990581580855,2528.000732421875,188017,0.0,0.0
2020-01-03,2528.000759809739,2572.673590220872,2525.856962530158,2560.1591796875,125129,0.0,0.0
2020-01-06,2560.1590174403445,2560.1590174403445,2493.9975813795013,2512.6943359375,82905,0.0,0.0
2020-01-07,2514.83806640171,2570.679038534341,2514.83806640171,2532.38818359375,115734,0.0,0.0
2020-01-08,2517.829662861487,2546.7473104745495,2516.63311923593,2542.45947265625,89006,0.0,0.0
2020-01-09,2552.9296183745932,2562.701837494973,2527.801228813135,2551.53369140625,82953,0.0,0.0
2020-01-10,2544.7531201732586,2560.159198328099,2513.8411504532855,2541.562255859375,135834,0.0,0.0
2020-01-13,2557.36704399782,2560.707628352994,2470.96320212567,2522.16748046875,795516,0.0,0.0
2020-01-14,2501.8751516379,2544.7530438341655,2498.484904052478,2538.62060546875,153823,0.0,0.0
2020-01-15,2532.7869787531145,2550.7358628545144,2486.369121456974,2514.73828125,147296,0.0,0.0
2020-01-16,2529.5962806268835,2612.5599683364985,2462.9859243477677,2573.521240234375,325358,0.0,0.0
2020-01-17,2547.744543157204,2607.5741606090364,2547.744543157204,2593.0654296875,155575,0.0,0.0
2020-01-20,2597.6026128708845,2612.560017551523,2561.8543183052216,2584.34033203125,55731,0.0,0.0
2020-01-21,2592.616854079789,2667.403878716706,2517.8797361487655,2560.60791015625,272694,0.0,0.0
2020-01-22,2562.5024407911815,2567.0892318399424,2497.5872116020632,2524.6103515625,243217,0.0,0.0
2020-01-23,2531.590571002497,2596.6053726576065,2523.1646153144848,2584.140869140625,159299,0.0,0.0
2020-01-24,2596.555383893492,2749.6194822446446,2590.2235623753745,2700.35986328125,811434,0.0,0.0
2020-01-27,2700.3100459346065,2742.190777813947,2663.5149288766916,2692.332763671875,221109,0.0,0.0
2020-01-28,2693.3299522004045,2797.1344361117576,2693.3299522004045,2757.497314453125,456036,0.0,0.0
2020-01-29,2772.105405040646,2841.757143621764,2772.105405040646,2824.805419921875,252841,0.0,0.0
2020-01-30,2836.921177209762,2871.8217892316748,2777.091556600769,2816.529296875,198937,0.0,0.0
2020-01-31,2834.0788511552505,2926.6652759171106,2817.0275572855912,2839.563232421875,245742,0.0,0.0
2020-02-03,2668.500790423547,2915.946022807707,2668.0022102708913,2803.117431640625,492976,0.0,0.0
2020-02-04,2791.8493024892136,2984.6004265267366,2791.8493024892136,2953.33935546875,454397,0.0,0.0
2020-02-05,2969.842452187804,3015.412627397836,2926.6653642237593,2978.81689453125,279347,0.0,0.0
2020-02-06,2971.537588299565,3086.4104020839613,2951.594383008964,3062.578369140625,248941,0.0,0.0
2020-02-07,3081.6238421860576,3121.1114842215907,3031.3670645474876,3069.558349609375,100880,0.0,0.0
2020-02-10,3088.7040707791116,3119.117460338034,2971.5377339537536,3005.19189453125,137020,0.0,0.0
2020-02-11,3023.938436062285,3049.3161163331447,2952.6414765077325,2990.832763671875,745408,0.0,0.0
2020-02-12,3005.3913728371294,3040.291984908806,2924.671291606535,2947.356689453125,298776,0.0,0.0
2020-02-13,2929.656732358299,2931.601146101816,2821.614324921161,2856.61474609375,262928,0.0,0.0
2020-02-14,2856.614789184094,2958.5744234258514,2811.991868574621,2842.05615234375,195067,0.0,0.0
